	Temp	FM	Psi	Date
121	5	30	-0.2	4/15/11
122	5	30	-0.2	4/16/11
123	5	30	-0.2	4/17/11
124	5	30	-0.2	4/18/11
125	5	30	-0.2	4/19/11
126	5	30	-0.2	4/20/11
127	5	30	-0.2	4/21/11
128	5	30	-0.2	4/22/11
129	5	30	-0.2	4/23/11
130	5	30	-0.2	4/24/11
131	5	30	-0.2	4/25/11
132	5	30	-0.2	4/26/11
133	5	30	-0.2	4/27/11
134	5	30	-0.2	4/28/11
135	5	30	-0.2	4/29/11
136	5	30	-0.2	4/30/11
137	5	30	-0.2	5/1/11
138	5	30	-0.2	5/2/11
139	5	30	-0.2	5/3/11
140	5	30	-0.2	5/4/11
141	5	30	-0.2	5/5/11
142	5	30	-0.2	5/6/11
143	5	30	-0.2	5/7/11
144	5	30	-0.2	5/8/11
145	5	30	-0.2	5/9/11
146	5	30	-0.2	5/10/11
147	5	30	-0.2	5/11/11
148	5	30	-0.2	5/12/11
149	5	30	-0.2	5/13/11
150	5	30	-0.2	5/14/11
151	5	30	-0.2	5/15/11
152	5	30	-0.2	5/16/11
153	5	30	-0.2	5/17/11
154	5	30	-0.2	5/18/11
155	5	30	-0.2	5/19/11
156	5	30	-0.2	5/20/11
157	5	30	-0.2	5/21/11
158	5	30	-0.2	5/22/11
159	5	30	-0.2	5/23/11
160	5	30	-0.2	5/24/11
161	5	30	-0.2	5/25/11
162	5	30	-0.2	5/26/11
163	5	30	-0.2	5/27/11
164	5	30	-0.2	5/28/11
165	5	30	-0.2	5/29/11
166	5	30	-0.2	5/30/11
167	5	30	-0.2	5/31/11
168	5	30	-0.2	6/1/11
169	5	30	-0.2	6/2/11
170	5	30	-0.2	6/3/11
171	5	30	-0.2	6/4/11
172	5	30	-0.2	6/5/11
173	5	30	-0.2	6/6/11
174	5	30	-0.2	6/7/11
175	5	30	-0.2	6/8/11
176	5	30	-0.2	6/9/11
177	5	30	-0.2	6/10/11
178	5	30	-0.2	6/11/11
179	5	30	-0.2	6/12/11
180	5	30	-0.2	6/13/11
181	5	30	-0.2	6/14/11
182	5	30	-0.2	6/15/11
183	5	30	-0.2	6/16/11
184	5	30	-0.2	6/17/11
185	5	30	-0.2	6/18/11
186	5	30	-0.2	6/19/11
187	5	30	-0.2	6/20/11
188	5	30	-0.2	6/21/11
189	5	30	-0.2	6/22/11
190	5	30	-0.2	6/23/11
191	5	30	-0.2	6/24/11
192	5	30	-0.2	6/25/11
193	5	30	-0.2	6/26/11
194	5	30	-0.2	6/27/11
195	5	30	-0.2	6/28/11
196	5	30	-0.2	6/29/11
197	5	30	-0.2	6/30/11
198	5	30	-0.2	7/1/11
199	5	30	-0.2	7/2/11
200	5	30	-0.2	7/3/11
201	5	30	-0.2	7/4/11
202	5	30	-0.2	7/5/11
203	5	30	-0.2	7/6/11
204	5	30	-0.2	7/7/11
205	5	30	-0.2	7/8/11
206	5	30	-0.2	7/9/11
207	5	30	-0.2	7/10/11
208	5	30	-0.2	7/11/11
209	5	30	-0.2	7/12/11
210	5	30	-0.2	7/13/11
211	5	30	-0.2	7/14/11
212	5	30	-0.2	7/15/11
213	5	30	-0.2	7/16/11
214	5	30	-0.2	7/17/11
215	5	30	-0.2	7/18/11
216	5	30	-0.2	7/19/11
217	5	30	-0.2	7/20/11
218	5	30	-0.2	7/21/11
219	5	30	-0.2	7/22/11
220	5	30	-0.2	7/23/11
221	5	30	-0.2	7/24/11
222	5	30	-0.2	7/25/11
223	5	30	-0.2	7/26/11
224	5	30	-0.2	7/27/11
225	5	30	-0.2	7/28/11
226	5	30	-0.2	7/29/11
227	5	30	-0.2	7/30/11
228	5	30	-0.2	7/31/11
229	5	30	-0.2	8/1/11
230	5	30	-0.2	8/2/11
231	5	30	-0.2	8/3/11
232	5	30	-0.2	8/4/11
233	5	30	-0.2	8/5/11
234	5	30	-0.2	8/6/11
235	5	30	-0.2	8/7/11
236	5	30	-0.2	8/8/11
237	5	30	-0.2	8/9/11
238	5	30	-0.2	8/10/11
239	5	30	-0.2	8/11/11
240	5	30	-0.2	8/12/11
241	5	30	-0.2	8/13/11
242	5	30	-0.2	8/14/11
243	5	30	-0.2	8/15/11
244	5	30	-0.2	8/16/11
245	5	30	-0.2	8/17/11
246	5	30	-0.2	8/18/11
247	5	30	-0.2	8/19/11
248	5	30	-0.2	8/20/11
249	5	30	-0.2	8/21/11
250	5	30	-0.2	8/22/11
251	5	30	-0.2	8/23/11
252	5	30	-0.2	8/24/11
253	5	30	-0.2	8/25/11
254	5	30	-0.2	8/26/11
255	5	30	-0.2	8/27/11
256	5	30	-0.2	8/28/11
257	5	30	-0.2	8/29/11
258	5	30	-0.2	8/30/11
259	5	30	-0.2	8/31/11
260	5	30	-0.2	9/1/11
261	5	30	-0.2	9/2/11
262	5	30	-0.2	9/3/11
263	5	30	-0.2	9/4/11
264	5	30	-0.2	9/5/11
265	5	30	-0.2	9/6/11
266	5	30	-0.2	9/7/11
267	5	30	-0.2	9/8/11
268	5	30	-0.2	9/9/11
269	5	30	-0.2	9/10/11
270	5	30	-0.2	9/11/11
271	5	30	-0.2	9/12/11
272	5	30	-0.2	9/13/11
273	5	30	-0.2	9/14/11
274	5	30	-0.2	9/15/11
275	5	30	-0.2	9/16/11
276	5	30	-0.2	9/17/11
277	5	30	-0.2	9/18/11
278	5	30	-0.2	9/19/11
279	5	30	-0.2	9/20/11
280	5	30	-0.2	9/21/11
281	5	30	-0.2	9/22/11
282	5	30	-0.2	9/23/11
283	5	30	-0.2	9/24/11
284	5	30	-0.2	9/25/11
285	5	30	-0.2	9/26/11
286	5	30	-0.2	9/27/11
287	5	30	-0.2	9/28/11
288	5	30	-0.2	9/29/11
289	5	30	-0.2	9/30/11
290	5	30	-0.2	10/1/11
291	5	30	-0.2	10/2/11
292	5	30	-0.2	10/3/11
293	5	30	-0.2	10/4/11
294	5	30	-0.2	10/5/11
295	5	30	-0.2	10/6/11
296	5	30	-0.2	10/7/11
297	5	30	-0.2	10/8/11
298	5	30	-0.2	10/9/11
299	5	30	-0.2	10/10/11
300	5	30	-0.2	10/11/11
301	5	30	-0.2	10/12/11
302	5	30	-0.2	10/13/11
303	5	30	-0.2	10/14/11
304	5	30	-0.2	10/15/11
305	5	30	-0.2	10/16/11
306	5	30	-0.2	10/17/11
307	5	30	-0.2	10/18/11
308	5	30	-0.2	10/19/11
309	5	30	-0.2	10/20/11
310	5	30	-0.2	10/21/11
311	5	30	-0.2	10/22/11
312	5	30	-0.2	10/23/11
313	5	30	-0.2	10/24/11
314	5	30	-0.2	10/25/11
315	5	30	-0.2	10/26/11
316	5	30	-0.2	10/27/11
317	5	30	-0.2	10/28/11
318	5	30	-0.2	10/29/11
319	5	30	-0.2	10/30/11
320	5	30	-0.2	10/31/11
321	5	30	-0.2	11/1/11
322	5	30	-0.2	11/2/11
323	5	30	-0.2	11/3/11
324	5	30	-0.2	11/4/11
325	5	30	-0.2	11/5/11
326	5	30	-0.2	11/6/11
327	5	30	-0.2	11/7/11
328	5	30	-0.2	11/8/11
329	5	30	-0.2	11/9/11
330	5	30	-0.2	11/10/11
331	5	30	-0.2	11/11/11
332	5	30	-0.2	11/12/11
333	5	30	-0.2	11/13/11
334	5	30	-0.2	11/14/11
335	5	30	-0.2	11/15/11
336	5	30	-0.2	11/16/11
337	5	30	-0.2	11/17/11
338	5	30	-0.2	11/18/11
339	5	30	-0.2	11/19/11
340	5	30	-0.2	11/20/11
341	5	30	-0.2	11/21/11
342	5	30	-0.2	11/22/11
343	5	30	-0.2	11/23/11
344	5	30	-0.2	11/24/11
345	5	30	-0.2	11/25/11
346	5	30	-0.2	11/26/11
347	5	30	-0.2	11/27/11
348	5	30	-0.2	11/28/11
349	5	30	-0.2	11/29/11
350	5	30	-0.2	11/30/11
351	5	30	-0.2	12/1/11
352	5	30	-0.2	12/2/11
353	5	30	-0.2	12/3/11
354	5	30	-0.2	12/4/11
355	5	30	-0.2	12/5/11
356	5	30	-0.2	12/6/11
357	5	30	-0.2	12/7/11
358	5	30	-0.2	12/8/11
359	5	30	-0.2	12/9/11
360	5	30	-0.2	12/10/11
361	5	30	-0.2	12/11/11
362	5	30	-0.2	12/12/11
363	5	30	-0.2	12/13/11
364	5	30	-0.2	12/14/11
365	5	30	-0.2	12/15/11
366	5	30	-0.2	12/16/11
367	5	30	-0.2	12/17/11
368	5	30	-0.2	12/18/11
369	5	30	-0.2	12/19/11
370	5	30	-0.2	12/20/11
371	5	30	-0.2	12/21/11
372	5	30	-0.2	12/22/11
373	5	30	-0.2	12/23/11
374	5	30	-0.2	12/24/11
375	5	30	-0.2	12/25/11
376	5	30	-0.2	12/26/11
377	5	30	-0.2	12/27/11
378	5	30	-0.2	12/28/11
379	5	30	-0.2	12/29/11
380	5	30	-0.2	12/30/11
381	5	30	-0.2	12/31/11
382	5	30	-0.2	1/1/11
383	5	30	-0.2	1/2/11
384	5	30	-0.2	1/3/11
385	5	30	-0.2	1/4/11
386	5	30	-0.2	1/5/11
387	5	30	-0.2	1/6/11
388	5	30	-0.2	1/7/11
389	5	30	-0.2	1/8/11
390	5	30	-0.2	1/9/11
391	5	30	-0.2	1/10/11
392	5	30	-0.2	1/11/11
393	5	30	-0.2	1/12/11
394	5	30	-0.2	1/13/11
395	5	30	-0.2	1/14/11
396	5	30	-0.2	1/15/11
397	5	30	-0.2	1/16/11
398	5	30	-0.2	1/17/11
399	5	30	-0.2	1/18/11
400	5	30	-0.2	1/19/11
401	5	30	-0.2	1/20/11
402	5	30	-0.2	1/21/11
403	5	30	-0.2	1/22/11
404	5	30	-0.2	1/23/11
405	5	30	-0.2	1/24/11
406	5	30	-0.2	1/25/11
407	5	30	-0.2	1/26/11
408	5	30	-0.2	1/27/11
409	5	30	-0.2	1/28/11
410	5	30	-0.2	1/29/11
411	5	30	-0.2	1/30/11
412	5	30	-0.2	1/31/11
413	5	30	-0.2	2/1/11
414	5	30	-0.2	2/2/11
415	5	30	-0.2	2/3/11
416	5	30	-0.2	2/4/11
417	5	30	-0.2	2/5/11
418	5	30	-0.2	2/6/11
419	5	30	-0.2	2/7/11
420	5	30	-0.2	2/8/11
421	5	30	-0.2	2/9/11
422	5	30	-0.2	2/10/11
423	5	30	-0.2	2/11/11
424	5	30	-0.2	2/12/11
425	5	30	-0.2	2/13/11
426	5	30	-0.2	2/14/11
427	5	30	-0.2	2/15/11
428	5	30	-0.2	2/16/11
429	5	30	-0.2	2/17/11
430	5	30	-0.2	2/18/11
431	5	30	-0.2	2/19/11
432	5	30	-0.2	2/20/11
433	5	30	-0.2	2/21/11
434	5	30	-0.2	2/22/11
435	5	30	-0.2	2/23/11
436	5	30	-0.2	2/24/11
437	5	30	-0.2	2/25/11
438	5	30	-0.2	2/26/11
439	5	30	-0.2	2/27/11
440	5	30	-0.2	2/28/11
441	5	30	-0.2	3/1/11
442	5	30	-0.2	3/2/11
443	5	30	-0.2	3/3/11
444	5	30	-0.2	3/4/11
445	5	30	-0.2	3/5/11
446	5	30	-0.2	3/6/11
447	5	30	-0.2	3/7/11
448	5	30	-0.2	3/8/11
449	5	30	-0.2	3/9/11
450	5	30	-0.2	3/10/11
451	5	30	-0.2	3/11/11
452	5	30	-0.2	3/12/11
453	5	30	-0.2	3/13/11
454	5	30	-0.2	3/14/11
455	5	30	-0.2	3/15/11
456	5	30	-0.2	3/16/11
457	5	30	-0.2	3/17/11
458	5	30	-0.2	3/18/11
459	5	30	-0.2	3/19/11
460	5	30	-0.2	3/20/11
461	5	30	-0.2	3/21/11
462	5	30	-0.2	3/22/11
463	5	30	-0.2	3/23/11
464	5	30	-0.2	3/24/11
465	5	30	-0.2	3/25/11
466	5	30	-0.2	3/26/11
467	5	30	-0.2	3/27/11
468	5	30	-0.2	3/28/11
469	5	30	-0.2	3/29/11
470	5	30	-0.2	3/30/11
471	5	30	-0.2	3/31/11
472	5	30	-0.2	4/1/11
473	5	30	-0.2	4/2/11
474	5	30	-0.2	4/3/11
475	5	30	-0.2	4/4/11
476	5	30	-0.2	4/5/11
477	5	30	-0.2	4/6/11
478	5	30	-0.2	4/7/11
479	5	30	-0.2	4/8/11
480	5	30	-0.2	4/9/11
481	5	30	-0.2	4/10/11
482	5	30	-0.2	4/11/11
483	5	30	-0.2	4/12/11
484	5	30	-0.2	4/13/11
485	5	30	-0.2	4/14/11
486	5	30	-0.2	4/15/11
487	5	30	-0.2	4/16/11
488	5	30	-0.2	4/17/11
489	5	30	-0.2	4/18/11
490	5	30	-0.2	4/19/11
491	5	30	-0.2	4/20/11
492	5	30	-0.2	4/21/11
493	5	30	-0.2	4/22/11
494	5	30	-0.2	4/23/11
495	5	30	-0.2	4/24/11
496	5	30	-0.2	4/25/11
497	5	30	-0.2	4/26/11
498	5	30	-0.2	4/27/11
499	5	30	-0.2	4/28/11
500	5	30	-0.2	4/29/11
501	5	30	-0.2	4/30/11
502	5	30	-0.2	5/1/11
503	5	30	-0.2	5/2/11
504	5	30	-0.2	5/3/11
505	5	30	-0.2	5/4/11
506	5	30	-0.2	5/5/11
507	5	30	-0.2	5/6/11
508	5	30	-0.2	5/7/11
509	5	30	-0.2	5/8/11
510	5	30	-0.2	5/9/11
511	5	30	-0.2	5/10/11
512	5	30	-0.2	5/11/11
513	5	30	-0.2	5/12/11
514	5	30	-0.2	5/13/11
515	5	30	-0.2	5/14/11
516	5	30	-0.2	5/15/11
517	5	30	-0.2	5/16/11
518	5	30	-0.2	5/17/11
519	5	30	-0.2	5/18/11
520	5	30	-0.2	5/19/11
521	5	30	-0.2	5/20/11
522	5	30	-0.2	5/21/11
523	5	30	-0.2	5/22/11
524	5	30	-0.2	5/23/11
525	5	30	-0.2	5/24/11
526	5	30	-0.2	5/25/11
527	5	30	-0.2	5/26/11
528	5	30	-0.2	5/27/11
529	5	30	-0.2	5/28/11
530	5	30	-0.2	5/29/11
531	5	30	-0.2	5/30/11
532	5	30	-0.2	5/31/11
533	5	30	-0.2	6/1/11
534	5	30	-0.2	6/2/11
535	5	30	-0.2	6/3/11
536	5	30	-0.2	6/4/11
537	5	30	-0.2	6/5/11
538	5	30	-0.2	6/6/11
539	5	30	-0.2	6/7/11
540	5	30	-0.2	6/8/11
541	5	30	-0.2	6/9/11
542	5	30	-0.2	6/10/11
543	5	30	-0.2	6/11/11
544	5	30	-0.2	6/12/11
545	5	30	-0.2	6/13/11
546	5	30	-0.2	6/14/11
547	5	30	-0.2	6/15/11
548	5	30	-0.2	6/16/11
549	5	30	-0.2	6/17/11
550	5	30	-0.2	6/18/11
551	5	30	-0.2	6/19/11
552	5	30	-0.2	6/20/11
553	5	30	-0.2	6/21/11
554	5	30	-0.2	6/22/11
555	5	30	-0.2	6/23/11
556	5	30	-0.2	6/24/11
557	5	30	-0.2	6/25/11
558	5	30	-0.2	6/26/11
559	5	30	-0.2	6/27/11
560	5	30	-0.2	6/28/11
561	5	30	-0.2	6/29/11
562	5	30	-0.2	6/30/11
563	5	30	-0.2	7/1/11
564	5	30	-0.2	7/2/11
565	5	30	-0.2	7/3/11
566	5	30	-0.2	7/4/11
567	5	30	-0.2	7/5/11
568	5	30	-0.2	7/6/11
569	5	30	-0.2	7/7/11
570	5	30	-0.2	7/8/11
571	5	30	-0.2	7/9/11
572	5	30	-0.2	7/10/11
573	5	30	-0.2	7/11/11
574	5	30	-0.2	7/12/11
575	5	30	-0.2	7/13/11
576	5	30	-0.2	7/14/11
577	5	30	-0.2	7/15/11
578	5	30	-0.2	7/16/11
579	5	30	-0.2	7/17/11
580	5	30	-0.2	7/18/11
581	5	30	-0.2	7/19/11
582	5	30	-0.2	7/20/11
583	5	30	-0.2	7/21/11
584	5	30	-0.2	7/22/11
585	5	30	-0.2	7/23/11
586	5	30	-0.2	7/24/11
587	5	30	-0.2	7/25/11
588	5	30	-0.2	7/26/11
589	5	30	-0.2	7/27/11
590	5	30	-0.2	7/28/11
591	5	30	-0.2	7/29/11
592	5	30	-0.2	7/30/11
593	5	30	-0.2	7/31/11
594	5	30	-0.2	8/1/11
595	5	30	-0.2	8/2/11
596	5	30	-0.2	8/3/11
597	5	30	-0.2	8/4/11
598	5	30	-0.2	8/5/11
599	5	30	-0.2	8/6/11
600	5	30	-0.2	8/7/11
601	5	30	-0.2	8/8/11
602	5	30	-0.2	8/9/11
603	5	30	-0.2	8/10/11
604	5	30	-0.2	8/11/11
605	5	30	-0.2	8/12/11
606	5	30	-0.2	8/13/11
607	5	30	-0.2	8/14/11
608	5	30	-0.2	8/15/11
609	5	30	-0.2	8/16/11
610	5	30	-0.2	8/17/11
611	5	30	-0.2	8/18/11
612	5	30	-0.2	8/19/11
613	5	30	-0.2	8/20/11
614	5	30	-0.2	8/21/11
615	5	30	-0.2	8/22/11
616	5	30	-0.2	8/23/11
617	5	30	-0.2	8/24/11
618	5	30	-0.2	8/25/11
619	5	30	-0.2	8/26/11
620	5	30	-0.2	8/27/11
621	5	30	-0.2	8/28/11
622	5	30	-0.2	8/29/11
623	5	30	-0.2	8/30/11
624	5	30	-0.2	8/31/11
625	5	30	-0.2	9/1/11
626	5	30	-0.2	9/2/11
627	5	30	-0.2	9/3/11
628	5	30	-0.2	9/4/11
629	5	30	-0.2	9/5/11
630	5	30	-0.2	9/6/11
631	5	30	-0.2	9/7/11
632	5	30	-0.2	9/8/11
633	5	30	-0.2	9/9/11
634	5	30	-0.2	9/10/11
635	5	30	-0.2	9/11/11
636	5	30	-0.2	9/12/11
637	5	30	-0.2	9/13/11
638	5	30	-0.2	9/14/11
639	5	30	-0.2	9/15/11
640	5	30	-0.2	9/16/11
641	5	30	-0.2	9/17/11
642	5	30	-0.2	9/18/11
643	5	30	-0.2	9/19/11
644	5	30	-0.2	9/20/11
645	5	30	-0.2	9/21/11
646	5	30	-0.2	9/22/11
647	5	30	-0.2	9/23/11
648	5	30	-0.2	9/24/11
649	5	30	-0.2	9/25/11
650	5	30	-0.2	9/26/11
651	5	30	-0.2	9/27/11
652	5	30	-0.2	9/28/11
653	5	30	-0.2	9/29/11
654	5	30	-0.2	9/30/11
655	5	30	-0.2	10/1/11
656	5	30	-0.2	10/2/11
657	5	30	-0.2	10/3/11
658	5	30	-0.2	10/4/11
659	5	30	-0.2	10/5/11
660	5	30	-0.2	10/6/11
661	5	30	-0.2	10/7/11
662	5	30	-0.2	10/8/11
663	5	30	-0.2	10/9/11
664	5	30	-0.2	10/10/11
665	5	30	-0.2	10/11/11
666	5	30	-0.2	10/12/11
667	5	30	-0.2	10/13/11
668	5	30	-0.2	10/14/11
669	5	30	-0.2	10/15/11
670	5	30	-0.2	10/16/11
671	5	30	-0.2	10/17/11
672	5	30	-0.2	10/18/11
673	5	30	-0.2	10/19/11
674	5	30	-0.2	10/20/11
675	5	30	-0.2	10/21/11
676	5	30	-0.2	10/22/11
677	5	30	-0.2	10/23/11
678	5	30	-0.2	10/24/11
679	5	30	-0.2	10/25/11
680	5	30	-0.2	10/26/11
681	5	30	-0.2	10/27/11
682	5	30	-0.2	10/28/11
683	5	30	-0.2	10/29/11
684	5	30	-0.2	10/30/11
685	5	30	-0.2	10/31/11
686	5	30	-0.2	11/1/11
687	5	30	-0.2	11/2/11
688	5	30	-0.2	11/3/11
689	5	30	-0.2	11/4/11
690	5	30	-0.2	11/5/11
691	5	30	-0.2	11/6/11
692	5	30	-0.2	11/7/11
693	5	30	-0.2	11/8/11
694	5	30	-0.2	11/9/11
695	5	30	-0.2	11/10/11
696	5	30	-0.2	11/11/11
697	5	30	-0.2	11/12/11
698	5	30	-0.2	11/13/11
699	5	30	-0.2	11/14/11
700	5	30	-0.2	11/15/11
701	5	30	-0.2	11/16/11
702	5	30	-0.2	11/17/11
703	5	30	-0.2	11/18/11
704	5	30	-0.2	11/19/11
705	5	30	-0.2	11/20/11
706	5	30	-0.2	11/21/11
707	5	30	-0.2	11/22/11
708	5	30	-0.2	11/23/11
709	5	30	-0.2	11/24/11
710	5	30	-0.2	11/25/11
711	5	30	-0.2	11/26/11
712	5	30	-0.2	11/27/11
713	5	30	-0.2	11/28/11
714	5	30	-0.2	11/29/11
715	5	30	-0.2	11/30/11
716	5	30	-0.2	12/1/11
717	5	30	-0.2	12/2/11
718	5	30	-0.2	12/3/11
719	5	30	-0.2	12/4/11
720	5	30	-0.2	12/5/11
721	5	30	-0.2	12/6/11
722	5	30	-0.2	12/7/11
723	5	30	-0.2	12/8/11
724	5	30	-0.2	12/9/11
725	5	30	-0.2	12/10/11
726	5	30	-0.2	12/11/11
727	5	30	-0.2	12/12/11
728	5	30	-0.2	12/13/11
729	5	30	-0.2	12/14/11
730	5	30	-0.2	12/15/11
731	5	30	-0.2	12/16/11
732	5	30	-0.2	12/17/11
733	5	30	-0.2	12/18/11
734	5	30	-0.2	12/19/11
735	5	30	-0.2	12/20/11
736	5	30	-0.2	12/21/11
737	5	30	-0.2	12/22/11
738	5	30	-0.2	12/23/11
739	5	30	-0.2	12/24/11
740	5	30	-0.2	12/25/11
741	5	30	-0.2	12/26/11
742	5	30	-0.2	12/27/11
743	5	30	-0.2	12/28/11
744	5	30	-0.2	12/29/11
745	5	30	-0.2	12/30/11
746	5	30	-0.2	12/31/11
747	5	30	-0.2	1/1/11
748	5	30	-0.2	1/2/11
749	5	30	-0.2	1/3/11
750	5	30	-0.2	1/4/11
751	5	30	-0.2	1/5/11
752	5	30	-0.2	1/6/11
753	5	30	-0.2	1/7/11
754	5	30	-0.2	1/8/11
755	5	30	-0.2	1/9/11
756	5	30	-0.2	1/10/11
757	5	30	-0.2	1/11/11
758	5	30	-0.2	1/12/11
759	5	30	-0.2	1/13/11
760	5	30	-0.2	1/14/11
761	5	30	-0.2	1/15/11
762	5	30	-0.2	1/16/11
763	5	30	-0.2	1/17/11
764	5	30	-0.2	1/18/11
765	5	30	-0.2	1/19/11
766	5	30	-0.2	1/20/11
767	5	30	-0.2	1/21/11
768	5	30	-0.2	1/22/11
769	5	30	-0.2	1/23/11
770	5	30	-0.2	1/24/11
771	5	30	-0.2	1/25/11
772	5	30	-0.2	1/26/11
773	5	30	-0.2	1/27/11
774	5	30	-0.2	1/28/11
775	5	30	-0.2	1/29/11
776	5	30	-0.2	1/30/11
777	5	30	-0.2	1/31/11
778	5	30	-0.2	2/1/11
779	5	30	-0.2	2/2/11
780	5	30	-0.2	2/3/11
781	5	30	-0.2	2/4/11
782	5	30	-0.2	2/5/11
783	5	30	-0.2	2/6/11
784	5	30	-0.2	2/7/11
785	5	30	-0.2	2/8/11
786	5	30	-0.2	2/9/11
787	5	30	-0.2	2/10/11
788	5	30	-0.2	2/11/11
789	5	30	-0.2	2/12/11
790	5	30	-0.2	2/13/11
791	5	30	-0.2	2/14/11
792	5	30	-0.2	2/15/11
793	5	30	-0.2	2/16/11
794	5	30	-0.2	2/17/11
795	5	30	-0.2	2/18/11
796	5	30	-0.2	2/19/11
797	5	30	-0.2	2/20/11
798	5	30	-0.2	2/21/11
799	5	30	-0.2	2/22/11
800	5	30	-0.2	2/23/11
801	5	30	-0.2	2/24/11
802	5	30	-0.2	2/25/11
803	5	30	-0.2	2/26/11
804	5	30	-0.2	2/27/11
805	5	30	-0.2	2/28/11
806	5	30	-0.2	3/1/11
807	5	30	-0.2	3/2/11
808	5	30	-0.2	3/3/11
809	5	30	-0.2	3/4/11
810	5	30	-0.2	3/5/11
811	5	30	-0.2	3/6/11
812	5	30	-0.2	3/7/11
813	5	30	-0.2	3/8/11
814	5	30	-0.2	3/9/11
815	5	30	-0.2	3/10/11
816	5	30	-0.2	3/11/11
817	5	30	-0.2	3/12/11
818	5	30	-0.2	3/13/11
819	5	30	-0.2	3/14/11
820	5	30	-0.2	3/15/11
